# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'task-clock:ppp'
# Event count (approx.): 2626500000
#
# Overhead  Command          Shared Object             Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
# ........  ...............  ........................  ....................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::ostream::flush()@plt
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::uniform_int_distribution<int>::param_type::a() const
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::uniform_int_distribution<int>::param_type::b() const
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::vector<int, std::allocator<int> >::end()
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] std::vector<int, std::allocator<int> >::push_back(int const&)
     0.01%  Mod3ProfilingPe  Mod3ProfilingPerformance  [.] void std::__detail::__to_chars_10_impl<unsigned int>(char*, unsigned int, unsigned int)
     0.01%  Mod3ProfilingPe  ld-linux-x86-64.so.2      [.] _dl_load_cache_lookup
     0.01%  Mod3ProfilingPe  ld-linux-x86-64.so.2      [.] _dl_relocate_object
     0.01%  Mod3ProfilingPe  ld-linux-x86-64.so.2      [.] check_match
     0.01%  Mod3ProfilingPe  ld-linux-x86-64.so.2      [.] get_common_indices.constprop.0
     0.01%  Mod3ProfilingPe  ld-linux-x86-64.so.2      [.] intel_check_word.constprop.0
     0.01%  Mod3ProfilingPe  libc.so.6                 [.] _IO_fwrite
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::basic_string(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >&&)
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_filebuf<char, std::char_traits<char> >::overflow(int)
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::basic_streambuf<char, std::char_traits<char> >::xsputn(char const*, long)@plt
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::locale::id::_M_id() const
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] std::random_device::_M_init(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&)
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] strlen@plt
     0.01%  Mod3ProfilingPe  libstdc++.so.6.0.33       [.] 0x0000000000147ba5
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac0f6720
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac0f6723
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac24c3dc
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac285470
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac285476
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac2854a0
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac2854b4
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac288fb4
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac295d32
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac2cd0de
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac300978
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac30d2d5
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac30d322
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4cca7e
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4ccb95
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4d0e23
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4d0fe5
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4d11e7
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4dca17
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac4dccea
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac50b882
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac55d2f4
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac57ffc4
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac58002d
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac596b9a
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac596bdc
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac596be2
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac596c6b
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac596c91
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59a355
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59b385
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c749
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c75d
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c77a
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c78d
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c7a9
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c81e
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c82b
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c882
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59c896
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac59cb29
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac5c757e
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac601c39
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac602700
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac605c22
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac605c24
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac605c7a
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac605d82
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac6070e5
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac607114
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac607142
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac607cd5
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac607d45
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608249
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608d94
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608e15
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608eae
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608f29
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608f36
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608f44
     0.01%  Mod3ProfilingPe  [unknown]                 [k] 0xffffffffac608f57
